NULL,NULL,5397-128,269517-129,1,0
NULL,NULL,5561-128,5424-129,33,32
NULL,NULL,264599-130,5422-129,108,107
NULL,NULL,256704-2,264294-129,9,8
NULL,NULL,264273-129,47267-1,4,3
NULL,NULL,277347-128,45353-2,77,76
NULL,NULL,6435-129,256317-0,6,5
NULL,NULL,264599-130,5562-129,31,30
NULL,NULL,45463-0,269516-129,82,81
NULL,NULL,5561-129,5423-130,8,7
NULL,NULL,45463-2,6445-129,1,0
NULL,NULL,6439-128,264271-130,2,1
NULL,NULL,45436-1,6445-129,128,127
NULL,NULL,264296-129,45463-1,116,115
NULL,NULL,5562-129,264270-130,10,9
NULL,NULL,256632-0,5422-130,30,29
NULL,NULL,264661-129,256496-0,6,5
NULL,NULL,5561-130,256705-0,1114,1113
NULL,NULL,277347-130,277403-129,335,334
NULL,NULL,47265-1,264312-130,3,2
